price,year,mileage,tax,steering,owners,model,volume,power,transmission,engine,fuel,drive,acceleration,consumption,country,class,number seats,length,width,height,wheelbase,clearance,wheel size,fuel capacity,weight,gears,maximum speed,ecological,co2,engine capacity,cylinders,cylinder,compression,fuel consumption city,fuel consumption highway,fuel consumption combined,log_price
1765000.0,2021.0,22200.0,3465.0,Левый,1.0,Skoda,1.6,110.0,Автомат,Бензиновый,АИ-95,Передний,11.8,6.1,Чехия,B,5.0,4485.0,1706.0,1475.0,2602.0,170.0,R15,55.0,1695.0,6.0,190.0,Euro 5,,1598.0,4.0,4.0,10.5,8.2,4.9,6.1,14.383661814921611
450000.0,2015.0,131000.0,1958.0,Левый,3.0,Lada,1.6,87.0,Механика,Бензиновый,АИ-95,Передний,12.2,7.0,Россия,B,5.0,3893.0,1700.0,1500.0,2476.0,160.0,R14,50.0,1560.0,5.0,168.0,Euro 4,,1596.0,4.0,2.0,10.3,9.0,5.8,7.0,13.017005083966255
4200000.0,2023.0,190.0,18675.0,Левый,1.0,Exeed,2.0,249.0,Автомат,Бензиновый,АИ-95,Полный,9.3,8.2,Китай,E,6.0,4970.0,1940.0,1792.0,2900.0,200.0,R20,65.0,2445.0,8.0,195.0,Euro 6,195.0,1998.0,4.0,4.0,,10.5,7.0,8.2,15.250595321348806
650000.0,2002.0,185000.0,8955.0,Левый,3.0,Ford,3.0,197.0,Автомат,Бензиновый,АИ-95,Полный,8.8,11.7,США,C,5.0,4394.0,1780.0,1755.0,2619.0,200.0,R16,57.0,2050.0,4.0,175.0,Euro 4,,2967.0,6.0,4.0,10.0,13.1,10.2,11.7,13.384729180332174
670000.0,2019.0,114000.0,1392.0,Левый,1.0,Lada,1.6,87.0,Механика,Бензиновый,АИ-95,Передний,11.6,7.5,Россия,B,5.0,4268.0,1700.0,1500.0,2476.0,180.0,R15,50.0,1560.0,5.0,172.0,Euro 5,,1596.0,4.0,2.0,10.5,8.5,5.5,7.5,13.415034483903348
10000000.0,2023.0,15000.0,,Левый,1.0,GMC,3.0,305.0,Автомат,Дизельный,ДТ,Полный,,,США,J,5.0,5891.0,2063.0,1921.0,3745.0,200.0,R17,83.0,3221.0,10.0,,Euro 0,,2993.0,6.0,4.0,15.0,,,,16.118095750958314
5000000.0,2021.0,40000.0,8595.0,Левый,1.0,Mini,2.0,192.0,Автомат,Бензиновый,АИ-95,Полный,7.2,7.3,Великобритания,B,5.0,4297.0,1822.0,1557.0,2670.0,165.0,R17,51.0,2120.0,8.0,222.0,Euro 6,150.0,1998.0,4.0,4.0,11.0,8.7,6.4,7.3,15.424948670398354
410000.0,2008.0,216000.0,1958.0,Левый,2.0,Renault,1.6,87.0,Механика,Бензиновый,АИ-95,Передний,11.5,7.2,Франция,B,5.0,4250.0,1735.0,1525.0,2630.0,155.0,R15,50.0,1540.0,5.0,175.0,Euro 0,,1598.0,4.0,2.0,9.5,10.0,5.8,7.2,12.923914877701906
5850000.0,2019.0,84000.0,51000.0,Левый,1.0,BMW,3.0,340.0,Автомат,Бензиновый,АИ-95,Полный,4.9,7.8,Германия,E,5.0,5082.0,1932.0,1407.0,3023.0,128.0,,68.0,2480.0,8.0,250.0,Euro 6,179.0,2998.0,6.0,4.0,11.0,9.8,6.7,7.8,15.581952390148196
5500000.0,2019.0,150000.0,52350.0,Левый,1.0,Audi,3.0,349.0,Автомат,Дизельный,ДТ,Полный,5.1,6.5,Германия,E,5.0,4954.0,1886.0,1481.0,2928.0,120.0,R20,63.0,2655.0,8.0,250.0,Euro 6,171.0,2967.0,6.0,4.0,15.5,7.7,5.8,6.5,15.520258832020865
1800000.0,2016.0,123000.0,4694.0,Левый,1.0,Ford,2.5,150.0,Автомат,Бензиновый,АИ-95,Передний,9.7,8.1,США,C,5.0,4524.0,1838.0,1745.0,2690.0,198.0,R18,60.0,2200.0,6.0,185.0,Euro 5,193.0,2488.0,4.0,4.0,9.7,11.2,6.5,8.1,14.403297778421795
4750000.0,2020.0,35000.0,46500.0,Левый,1.0,Cupra,2.0,310.0,Робот,Бензиновый,АИ-95,Полный,4.9,7.7,Испания,C,5.0,4450.0,1839.0,1510.0,2680.0,,R19,55.0,2140.0,7.0,250.0,Euro 6,175.0,1984.0,4.0,4.0,9.3,9.6,6.5,7.7,15.373655386537118
950000.0,2004.0,182000.0,40800.0,Левый,3.0,Volvo,2.9,272.0,Автомат,Бензиновый,АИ-98,Полный,9.3,12.9,Швеция,E,5.0,4798.0,1898.0,1743.0,2857.0,218.0,R19,80.0,2800.0,4.0,210.0,Euro 0,,2922.0,6.0,4.0,8.5,18.5,9.6,12.9,13.76421831620775
780000.0,2023.0,96000.0,2003.0,Левый,1.0,Lada,1.6,90.0,Механика,Бензиновый,АИ-95,Передний,11.2,6.8,Россия,B,5.0,4268.0,1700.0,1500.0,2476.0,180.0,R15,50.0,1560.0,5.0,179.0,Euro 2,,1596.0,4.0,2.0,10.5,9.4,5.3,6.8,13.567050480716235
1250000.0,2011.0,193000.0,4662.0,Левый,2.0,Toyota,2.0,148.0,Вариатор,Бензиновый,АИ-95,Полный,11.5,7.6,Япония,C,5.0,4445.0,1815.0,1685.0,2560.0,190.0,R17,60.0,2110.0,,185.0,Euro 4,178.0,1998.0,4.0,4.0,9.8,9.6,6.5,7.6,14.038654909278163
1790000.0,2023.0,7500.0,8100.0,Левый,2.0,Changan,1.5,181.0,Робот,Бензиновый,АИ-92,Передний,7.1,6.2,Китай,C,5.0,4680.0,1838.0,1430.0,2750.0,152.0,R18,51.0,,7.0,205.0,Euro 6,,1494.0,4.0,4.0,,,,6.2,14.397726736475999
